"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒆠𒆸","𒆠𒆸","KI.LAGAB","KI.LAGAB (KISIM6)","KI.LAGAB (<font color=""#c5000b"">KISIM<sub>6</sub></font> <font color=""#878787"">(Labat; MesZL: KISIM<sub>6</sub> = GA.LAGAB (nos. 491+755))</font>)","737+755","461+483","U+121A0 & U+121B8 (KI & LAGAB)","KI.LAGAB (KISIM6 (Labat; MesZL: KISIM6 = GA.LAGAB (nos. 491+755))","KI.LAGAB (KISIM6)","–",737
"𒆠𒇲","𒆠𒇲","KI.LAL","KI.LAL (UTTU6)","KI.LAL (UTTU<sub>6</sub>)","737+750","461+481","U+121A0 & U+121F2 (KI & LAL)","KI.LAL (UTTU6)","KI.LAL (UTTU6)","–",737
"𒆠𒇴","𒆠𒇴","KI.LAM","KI.LAM (GANBA, MALBA)","KI.LAM (GANBA, MALBA)","737+693","461+435","U+121A0 & U+121F4 (KI & LAM)","KI.LAM (GANBA, MALBA)","KI.LAM (GANBA, MALBA)","–",737
"𒆠𒉈","𒆠𒉈","KI.NE","KI.NE (ABNI, ABNI2, DINIG, GIBIL3, GENE, GUNNI, IZI2, KUŠLUG, MEL, MEL3, MUNU2, NE5, NEMUR, NIMUR, ZE7, ZI7)","KI.NE (<font color=""#c5000b"">ABNI</font> <font color=""#878787"">(Labat; MesZL: ABNI<sub>2</sub>, ABNI missing)</font>, ABNI<sub>2</sub> <font color=""#878787"">(MesZL: Deimel and Labat ABNI)</font>, DINIG <font color=""#878787"">(MesZL: Deimel DINIG<sub>2</sub>)</font>, GIBIL<sub>3</sub>, <font color=""#c5000b"">GENE</font> <font color=""#878787"">(Labat; MesZL: GENE missing)</font>, GUNNI, IZI<sub>2</sub>, KUŠLUG, <font color=""#c5000b"">MEL</font> <font color=""#878787"">(Labat; MesZL: MEL<sub>3</sub>, MEL = IŠ (no. 357))</font>, MEL<sub>3</sub> <font color=""#878787"">(MesZL: Deimel and Labat MEL)</font>, MUNU<sub>2</sub>, NE<sub>5</sub>, NEMUR, NIMUR, <font color=""#c5000b"">ZE<sub>7</sub></font> <font color=""#878787"">(Labat; MesZL: ZE<sub>7</sub> missing)</font>, ZI<sub>7</sub> <font color=""#878787"">(MesZL: Deimel ṢI<sub>6</sub>)</font>)","737+313","461+172","U+121A0 & U+12248 (KI & NE)","KI.NE (ABNI (Labat; MesZL: ABNI2, ABNI missing), ABNI2 (MesZL: Deimel and Labat ABNI), DINIG (MesZL: Deimel DINIG2), GIBIL3, GENE (Labat; MesZL: GENE missing), GUNNI, IZI2, KUŠLUG, MEL (Labat; MesZL: MEL3, MEL = IŠ (no. 357)), MEL3 (MesZL: Deimel and Labat MEL), MUNU2, NE5, NEMUR, NIMUR, ZE7 (Labat; MesZL: ZE7 missing), ZI7 (MesZL: Deimel ṢI6))","KI.NE (ABNI, ABNI2, DINIG, GIBIL3, GENE, GUNNI, IZI2, KUSHLUG, MEL, MEL3, MUNU2, NE5, NEMUR, NIMUR, ZE7, ZI7)","–",737
"𒆠𒉈𒀭𒈹","𒆠𒉈𒀭𒈹","KI.NE.AN.MUŠ₃","KI.NE.AN.MUŠ3 (DIGBIR)","KI.NE.AN.MUŠ<sub>3</sub> (DIGBIR</font> <font color=""#878787"">(MesZL: Deimel DIG<sub>2</sub> and DIGSA)</font>)","737+313+010+153","461+172+013+103","U+121A0 & U+12248 & U+1202D & U+12239 (KI & NE & AN & MUSH3)","KI.NE.AN.MUŠ3 (DIGBIR (MesZL: Deimel DIG2 and DIGSA))","KI.NE.AN.MUSH3 (DIGBIR)","–",737
"𒆠𒊕","𒆠𒊕","KI.SAG","KI.SAG (IGI3)","KI.SAG (IGI<sub>3</sub> <font color=""#878787"">(MesZL: ?)</font>)","737+184","461+115","U+121A0 & U+12295 (KI & SAG)","KI.SAG (IGI3 (MesZL: ?))","KI.SAG (IGI3)","–",737
"𒆠𒊕𒁺","𒆠𒊕𒁺","KI.SAG.DU","KI.SAG.DU (SULUMMAR)","KI.SAG.DU (SULUMMAR)","737+184+350","461+115+206","U+121A0 & U+12295 & U+1207A (KI & SAG & DU)","KI.SAG.DU (SULUMMAR)","KI.SAG.DU (SULUMMAR)","–",737
"𒆠𒊕𒊩","𒆠𒊕𒊩","KI.SAG.MUNUS","KI.SAG.MUNUS (IGIRA2, IGIRU)","KI.SAG.MUNUS (IGIRA<sub>2</sub>, IGIRU)","737+184+883","461+115+554","U+121A0 & U+12295 & U+122A9 (KI & SAG & SAL)","KI.SAG.MUNUS (IGIRA2, IGIRU)","KI.SAG.MUNUS (IGIRA2, IGIRU)","–",737
"𒆠𒊕𒊩𒄷","𒆠𒊕𒊩𒄷","KI.SAG.MUNUS.ḪU","KI.SAG.MUNUS.ḪU (IGIRA2)","KI.SAG.MUNUS.ḪU (<font color=""#c5000b"">IGIRA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: IGIRA<sub>2</sub> = KI.SAG.MUNUS (nos. 737+184+883))</font>)","737+184+883+132","461+115+554+078","U+121A0 & U+12295 & U+122A9 & U+12137 (KI & SAG & SAL & HU)","KI.SAG.MUNUS.ḪU (IGIRA2 (Labat; MesZL: IGIRA2 = KI.SAG.MUNUS (nos. 737+184+883)))","KI.SAG.MUNUS.HU (IGIRA2)","–",737
"𒆠𒋢𒇻𒂠𒃻","𒆠𒋢𒇻𒂠𒃻","KI.SU.LU.ŠE₃.NIG₂","KI.SU.LU.ŠE3.NIG2 (UGNIM, UMMAN)","KI.SU.LU.ŠE<sub>3</sub>.NIG<sub>2</sub> (UGNIM, UMMAN)","737+016+812+810+859","461+007+537+536+597","U+121A0 & U+122E2 & U+121FB & U+120A0 & U+120FB (KI & SU & LU & ESH2 & GAR)","KI.SU.LU.ŠE3.NIG2 (UGNIM, UMMAN)","KI.SU.LU.SHE3.NIG2 (UGNIM, UMMAN)","–",737
"𒆠𒋀𒆕","𒆠𒋀𒆕","KI.ŠEŠ.GAG","KI.ŠEŠ.GAG (KISSA)","KI.ŠEŠ.GAG (KISSA)","737+535+379","461+331+230","U+121A0 & U+122C0 & U+12195 (KI & SHESH & KAK)","KI.ŠEŠ.GAG (KISSA)","KI.SHESH.GAG (KISSA)","–",737
"𒆠𒋀𒆕𒀀","𒆠𒋀𒆕𒀀","KI.ŠEŠ.GAG.A","KI.ŠEŠ.GAG.A (KISSA.A)","KI.ŠEŠ.GAG.A (KISSA.A)","737+535+379+839","461+331+230+579","U+121A0 & U+122C0 & U+12195 &U+12000 (KI & SHESH & KAK & A)","KI.ŠEŠ.GAG.A (KISSA.A)","KI.SHESH.GAG.A (KISSA.A)","–",737
"𒆠𒌓","𒆠𒌓","KI.UD","KI.UD (KISLAḪ)","KI.UD (KISLAḪ)","737+596","461+381","U+121A0 & U+12313 (KI & UD)","KI.UD (KISLAḪ)","KI.UD (KISLAH)","–",737
"𒁉𒑖","𒁉𒑖","KIB","KIB (ADAMEN3, ADAMIN3, ALʾAL, ALʾAL2, ALAL3, ALAL4, AN2, DARA5, DARI, DARI5, DARU, DARU5, DUR4, DURU4, GIB2, GIP2, GUBRU3, ḪUL3, KEP, KIP, LIRI3, LIRU3, LIRUM3, PUḪRUM, QEB, QIB, QIP, ŠALLUR, ŠENNUR, TUL3, TUR4, ṬUR4, UL3, ULʾUL, ULʾUL2, ULLU2, ULUL, ULUL2)","KIB (ADAMEN<sub>3</sub>, ADAMIN<sub>3</sub>, ALʾAL, ALʾAL<sub>2</sub> <font color=""#878787"">(MesZL: better to be erased)</font>, ALAL<sub>3</sub>, ALAL<sub>4</sub> <font color=""#878787"">(MesZL: better to be erased)</font>, AN<sub>2</sub> <font color=""#878787"">(MesZL: ?)</font>, DARA<sub>5</sub>, <font color=""#c5000b"">DARI</font> <font color=""#878787"">(Labat; MesZL: KIB = DARI<sub>5</sub>, DARI missing)</font>, DARI<sub>5</sub> <font color=""#878787"">(MesZL: Labat and Deimel DARI)</font>, <font color=""#c5000b"">DARU</font> <font color=""#878787"">(Labat; MesZL: KIB = DARU<sub>5</sub>, DARU missing)</font>, DARU<sub>5</sub> <font color=""#878787"">(MesZL: Labat and Deimel DARU)</font>, DUR<sub>4</sub> <font color=""#878787"">(MesZL: not proved, see DURU<sub>4</sub>)</font>, DURU<sub>4</sub>, GIB<sub>2</sub>, GIP<sub>2</sub>, <font color=""#c5000b"">GUBRU<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: GUBRU<sub>3</sub> missing)</font>, ḪUL<sub>3</sub>, KEP, KIP, LIRI<sub>3</sub>, LIRU<sub>3</sub>, LIRUM<sub>3</sub>, PUḪRUM <font color=""#878787"">(MesZL: needless)</font>, QEB, QIB, QIP, ŠALLUR, ŠENNUR, <font color=""#c5000b"">TUL<sub>3</sub></font> <font color=""#878787"">(Labat; KŠ: in index erroneously 229; MesZL: TUL<sub>3</sub> missing)</font>, TUR<sub>4</sub>, ṬUR<sub>4</sub>, UL<sub>3</sub>, ULʾUL, ULʾUL<sub>2</sub> <font color=""#878787"">(MesZL: better to be erased)</font>, <font color=""#c5000b"">ULLU<sub>2</sub></font> <font color=""#878787"">(Labat; KŠ: in index erroneously 229; MesZL: ULLU<sub>2</sub> missing)</font>, ULUL, ULUL<sub>2</sub> <font color=""#878787"">(MesZL: better to be erased)</font>)","378","228","Old Babylonian: U+12112 (GISH CROSSING GISH) Neo-Assyrian:U+12049 & U+12456 (BI & NUMERIC SIGN NIGIDAMIN)","KIB (ADAMEN3, ADAMIN3, AL’AL, AL’AL2 (MesZL: better to be erased), ALAL3, ALAL4 (MesZL: better to be erased), AN2 (MesZL: ?), DARA5, DARI (Labat; MesZL: KIB = DARI5, DARI missing), DARI5 (MesZL: Labat and Deimel DARI), DARU (Labat; MesZL: KIB = DARU5, DARU missing), DARU5 (MesZL: Labat and Deimel DARU), DUR4 (MesZL: not proved, see DURU4), DURU4, GIB2, GIP2, GUBRU3 (Labat; MesZL: GUBRU3 missing), ḪUL3, KEP, KIP, LIRI3, LIRU3, LIRUM3, PUḪRUM (MesZL: needless), QEB, QIB, QIP, ŠALLUR, ŠENNUR, TUL3 (Labat; KŠ: in index erroneously 229; MesZL: TUL3 missing), TUR4, ṬUR4, UL3, UL’UL, UL’UL2 (MesZL: better to be erased), ULLU2 (Labat; KŠ: in index erroneously 229; MesZL: ULLU2 missing), ULUL, ULUL2 (MesZL: better to be erased))","KIB (ADAMEN3, ADAMIN3, ALʾAL, ALʾAL2, ALAL3, ALAL4, AN2, DARA5, DARI, DARI5, DARU, DARU5, DUR4, DURU4, GIB2, GIP2, GUBRU3, HUL3, KEP, KIP, LIRI3, LIRU3, LIRUM3, PUHRUM, QEB, QIB, QIP, SHALLUR, SHENNUR, TUL3, TUR4, ṬUR4, UL3, ULʾUL, ULʾUL2, ULLU2, ULUL, ULUL2)","228-KIB",378
"𒆤","𒆤","KID","KID (BUR6, BURU6, GE2, GI2, GID, GIT, GIṬ, KE4, KET, KI4, KIT, KIṬ, KUB4, KUP4, LEL2, LIL2, MURU12, QET, QI5, QID, QIT, QIṬ, SAḪ, SEḪ2, SIḪ2, SUḪ4, ṢAḪ2, ŠAḪ3, ŠIḪ, ŠIḪ2)","KID (BUR<sub>6</sub>, BURU<sub>6</sub>, GE<sub>2</sub>, GI<sub>2</sub>, GID, GIT, <font color=""#c5000b"">GIṬ</font> <font color=""#878787"">(Labat; MesZL: GIṬ missing)</font>, KE<sub>4</sub>, KET, KI<sub>4</sub>, KIT, KIṬ, KUB<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, KUP<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, LEL<sub>2</sub> <font color=""#878787"">(MesZL: see nos. 435 and 484)</font>, LIL<sub>2</sub>, MURU<sub>12</sub>, QET, QI<sub>5</sub> <font color=""#878787"">(MesZL: ?)</font>, QID, QIT, QIṬ <font color=""#878787"">(MesZL: missing)</font>, SAḪ, SEḪ<sub>2</sub>, SIḪ<sub>2</sub>, SUḪ<sub>4</sub>, ṢAḪ<sub>2</sub> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, ŠAḪ<sub>3</sub> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, <font color=""#c5000b"">ŠIḪ</font> <font color=""#878787"">(Labat: in syllabary KID = ŠIḪ, but in index ŠIḪ = ŠAḪ (no. 23) and ŠIḪ<sub>2</sub> missing; MesZL: ŠIḪ<sub>2</sub>, ŠIḪ = ŠAḪ (no. 23); KŠ: perhaps mistake, in Labat's syllabary should be ŠIḪ<sub>2</sub>)</font>, ŠIḪ<sub>2</sub>)","484","313","U+121A4 (KID)","KID (BUR6, BURU6, GE2, GI2, GID, GIT, GIṬ (Labat; MesZL: GIṬ missing), KE4, KET, KI4, KIT, KIṬ, KUB4 (MesZL: ?), KUP4 (MesZL: ?), LEL2 (MesZL: see nos. 435 and 484), LIL2, MURU12, QET, QI5 (MesZL: ?), QID, QIT, QIṬ (MesZL: missing), SAḪ, SEḪ2, SIḪ2, SUḪ4, ṢAḪ2 (MesZL: Deimel and Labat differently), ŠAḪ3 (MesZL: Deimel and Labat differently), ŠIḪ (Labat: in syllabary KID = ŠIḪ, but in index ŠIḪ = ŠAḪ (no. 23) and ŠIḪ2 missing; MesZL: ŠIḪ2, ŠIḪ = ŠAḪ (no. 23); KŠ: perhaps mistake, in Labat's syllabary should be ŠIḪ2), ŠIḪ2)","KID (BUR6, BURU6, GE2, GI2, GID, GIT, GIṬ, KE4, KET, KI4, KIT, KIṬ, KUB4, KUP4, LEL2, LIL2, MURU12, QET, QI5, QID, QIT, QIṬ, SAH, SEH2, SIH2, SUH4, ṢAH2, SHAH3, SHIH, SHIH2)","313-KID",484
"𒋺","𒋺","KID₂","KID2 (AZAD2, DA13, DAD, DAT, GID6, GUDIBIR, KIT2, SASIRRA, ŠID3, ŠIT3, ŠIṬ3, ŠURU6, ŠURUM6, TA6, TAD, TAG4, TAK4, TAK5, TAKA4, TAT, ṬAD, ṬAT)","KID<sub>2</sub> (AZAD<sub>2</sub>, DA<sub>13</sub>, DAD, DAT, GID<sub>6</sub>, GUDIBIR <font color=""#878787"">(MesZL; Labat: in index AN.KID<sub>2</sub> and no. 64, in syllabary missing)</font>, KIT<sub>2</sub>, <font color=""#c5000b"">SASIRRA</font> <font color=""#878787"">(Labat: SASIRRA = KID<sub>2</sub> (106), NUN crossing NUN (107), KAD<sub>2</sub> (108), KAD<sub>3</sub> (109); MesZL: SASIRRA missing)</font>, ŠID<sub>3</sub> <font color=""#878787"">(MesZL: ?)</font>, <font color=""#c5000b"">ŠIT<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: ŠIT<sub>3</sub> missing)</font>, <font color=""#c5000b"">ŠIṬ<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: ŠIṬ<sub>3</sub> missing)</font>, ŠURU<sub>6</sub>, ŠURUM<sub>6</sub>, TA<sub>6</sub> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, TAD, TAG<sub>4</sub>, TAK<sub>4</sub> <font color=""#878787"">(MesZL: Labat TAK<sub>5</sub>, the meaning of TAK<sub>5</sub> is not newly occupied, Deimel differently)</font>, <font color=""#c5000b"">TAK<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: Labat's TAK<sub>5</sub> = TAK<sub>4</sub>, the meaning of TAK<sub>5</sub> is not newly occupied)</font>, TAKA<sub>4</sub> <font color=""#878787"">(MesZL: Deimel TAKA)</font>, TAT, ṬAD, ṬAT)","106","063 063d (ABZ)","U+122FA (TAK4)","KID2 (AZAD2, DA13, DAD, DAT, GID6, GUDIBIR (MesZL; Labat: in index AN.KID2 and no. 64, in syllabary missing), KIT2, SASIRRA (Labat: SASIRRA = KID2 (no. 106), NUN crossing NUN (no. 107), KAD2 (no. 108), KAD3 (no. 109); MesZL: SASIRRA missing), ŠID3 (MesZL: ?), ŠIT3 (Labat; MesZL: ŠIT3 missing), ŠIṬ3 (Labat; MesZL: ŠIṬ3 missing), ŠURU6, ŠURUM6, TA6 (MesZL: Deimel and Labat differently), TAD, TAG4, TAK4 (MesZL: Labat TAK5, the meaning of TAK5 is not newly occupied, Deimel differently), TAK5 (Labat; MesZL: Labat's TAK5 = TAK4, the meaning of TAK5 is not newly occupied), TAKA4 (MesZL: Deimel TAKA), TAT, ṬAD, ṬAT)","KID2 (AZAD2, DA13, DAD, DAT, GID6, GUDIBIR, KIT2, SASIRRA, SHID3, SHIT3, SHIṬ3, SHURU6, SHURUM6, TA6, TAD, TAG4, TAK4, TAK5, TAKA4, TAT, ṬAD, ṬAT)","063-TAK4-KAD2-KAD3-NUN_cross",106
"𒋺𒋺","𒋺𒋺","KID₂.KID₂","KID2.KID2 (TAG4.TAG4)","KID<sub>2</sub>.KID<sub>2</sub> (TAG<sub>4</sub>.TAG<sub>4</sub>)","106+106","063+063 063d+063d (ABZ)","U+122FA & U+122FA (TAK4 & TAK4)","KID2.KID2 (TAG4.TAG4)","KID2.KID2 (TAG4.TAG4)","–",106
"𒋺𒄗","𒋺𒄗","KID₂.SUḪ₃","KID2.SUḪ3 (AGAN)","KID<sub>2</sub>.SUḪ<sub>3</sub> (<font color=""#c5000b"">AGAN</font> <font color=""#878787"">(Labat; MesZL: AGAN missing)</font>)","106+892","063+569","U+122FA & U+12117 (TAK4 & GU CROSSING GU)","KID2.SUḪ3 (AGAN (Labat; MesZL: AGAN missing))","KID2.SUH3 (AGAN)","–",106
"𒆠𒈫","𒆠𒈫","KIMIN","KIMIN (KI+MIN; U7)","KIMIN (KI+MIN; U<sub>7</sub>)","742","461+570","U+121A0 & U+1222B (KI & MIN)","KIMIN (KI+MIN; U7)","KIMIN (KI+MIN; U7)","–",742
"𒆥","𒆥","KIN","KIN (GUR10, GURUN6, KIG2, KINGA, KUN10, QE, QI, QIN, SAG11, SEG18, SIG18)","KIN (GUR<sub>10</sub>, GURUN<sub>6</sub> <font color=""#878787"">(MesZL: to be erased)</font>, KIG<sub>2</sub>, KINGA <font color=""#878787"">(MesZL: ?)</font>, KUN<sub>10</sub> <font color=""#878787"">(MesZL: ?)</font>, QE, QI, QIN, SAG<sub>11</sub>, SEG<sub>18</sub>, SIG<sub>18</sub>)","815","538","U+121A5 (KIN)","KIN (GUR10, GURUN6 (MesZL: to be erased), KIG2, KINGA (MesZL: ?), KUN10 (MesZL: ?), QE, QI, QIN, SAG11, SEG18, SIG18)","KIN (GUR10, GURUN6, KIG2, KINGA, KUN10, QE, QI, QIN, SAG11, SEG18, SIG18)","538-KIN",815
"𒃱","𒃱","KINDA","KINDA (GAD over GAD.GAR over GAR)","KINDA (GAD over GAD.GAR over GAR)","163","091","U+120F1 (GAD OVER GAD GAR OVER GAR)","KINDA (GAD over GAD.GAR over GAR)","KINDA (GAD over GAD.GAR over GAR)","–",163
"𒑜","𒑜","KINGUSILA","KINGUSILA (5/6, KINGUSILI, KINGUSILLA, KINGUSILLI)","KINGUSILA (5/6, KINGUSILI, <font color=""#c5000b"">KINGUSILLA</font> <font color=""#878787"">(Labat; MesZL: KINGUSILA, KINGUSILLA missing)</font>, <font color=""#c5000b"">KINGUSILLI</font> <font color=""#878787"">(Labat; MesZL: KINGUSILI, KINGUSILLI missing)</font>)","838","573","U+1245C (NUMERIC SIGN FIVE SIXTHS DISH)","KINGUSILA (5/6, KINGUSILI, KINGUSILLA (Labat; MesZL: KINGUSILA, KINGUSILLA missing), KINGUSILLI (Labat; MesZL: KINGUSILI, KINGUSILLI missing))","KINGUSILA (5/6, KINGUSILI, KINGUSILLA, KINGUSILLI)","573-KINGUSILA",838
"𒀚","𒀚","KIR₂","KIR2 (AB2 × ŠA3; GIR9, LIBIŠ, LIPIŠ, ŠAG6, ŠEM3, UB3, UBA3)","KIR<sub>2</sub> (AB<sub>2</sub> × ŠA<sub>3</sub>; GIR<sub>9</sub>, LIBIŠ LIPIŠ, <font color=""#c5000b"">ŠAG<sub>6</sub></font> <font color=""#878787"">(Labat: ?; MesZL: ŠAG<sub>6</sub> = SIG (no. 881)</font>, ŠEM<sub>3</sub>, UB<sub>3</sub>, UBA<sub>3</sub>)","677","424","U+1201A (AB2 TIMES SHA3)","KIR2 (AB2 × ŠA3; GIR9, LIBIŠ, LIPIŠ, ŠAG6 (Labat: ?; MesZL: ŠAG6 = SIG (no. 881)), ŠEM3, UB3, UBA3)","KIR2 (AB2 × SHA3; GIR9, LIBISH, LIPISH, SHAG6, SHEM3, UB3, UBA3)","424-LIBISH",677
"𒀘","𒀘","KIR₆","KIR6 (AB2 × KAR2, AB2 × GAN2 tenû; KER6, QIR6, ŠEM5)","KIR<sub>6</sub> (AB<sub>2</sub> × KAR<sub>2</sub>, AB<sub>2</sub> × GAN<sub>2</sub> <i>tenû</i>; KER<sub>6</sub>, QIR<sub>6</sub> <font color=""#878787"">(MesZL: Labat QIR<sub>2</sub>)</font>, ŠEM<sub>5</sub>)","674","423","U+12018 (AB2 TIMES GAN2 TENU)","KIR6 (AB2 × KAR2, AB2 × GAN2 tenû; KER6, QIR6 (MesZL: Labat QIR2), ŠEM5)","KIR6 (AB2 × KAR2, AB2 × GAN2 tenû; KER6, QIR6, SHEM5)","423-KIR6",674
"𒉑","𒉑","KIR₇","KIR7 (NIM × NIG2.KAR2; KER7, TUM11)","KIR<sub>7</sub> (NIM × NIG<sub>2</sub>.KAR<sub>2</sub>; KER<sub>7</sub>, TUM<sub>11</sub>)","692","434a","U+12251 (NIM TIMES GAR PLUS GAN2 TENU)","KIR7 (NIM × NIG2.KAR2; KER7, TUM11)","KIR7 (NIM × NIG2.KAR2; KER7, TUM11)","–",692
"𒆦","𒆦","KISAL","KISAL (BUR6, BURU6, DAG4, LEL4, PAR4, PARA4)","KISAL (BUR<sub>6</sub> <font color=""#878787"">(MesZL: Thureau-Dangin, to be erased, read with Civil BUR<sub>6</sub> and BURU<sub>6</sub> = KID, nos. 484 and 435)</font>, BURU<sub>6</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>, DAG<sub>4</sub> <font color=""#878787"">(MesZL: to be erased, see nos. 435 and 438)</font>, LEL<sub>4</sub> <font color=""#878787"">(MesZL: perhaps to be erased, see nos. 435 and 484)</font>, PAR<sub>4</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>, PARA<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>)","435","249","U+121A6 (KISAL)","KISAL (BUR6 (MesZL: Thureau-Dangin, to be erased, read with Civil BUR6 and BURU6 = KID, nos. 484 and 435), BURU6 (MesZL: Deimel differently), DAG4 (MesZL: to be erased, see nos. 435 and 438), LEL4 (MesZL: perhaps to be erased, see nos. 435 and 484), PAR4 (MesZL: Deimel differently), PARA4 (MesZL: ?))","KISAL (BUR6, BURU6, DAG4, LEL4, PAR4, PARA4)","249-KISAL",435
"𒆨","𒆨","KISIM₅","KISIM5","KISIM<sub>5</sub>","687","404*, 396","U+121A8 (KISIM5)","KISIM5","KISIM5","404-HA2",687
"𒆩","𒆩","KISIM₅ over KISIM₅","KISIM5 over KISIM5 (KISIM5/KISIM5; GINGIRA)","KISIM<sub>5</sub> over KISIM<sub>5</sub> (KISIM<sub>5</sub>/KISIM<sub>5</sub>; GINGIRA)","687","404*,2","U+121A9 (KISIM5 OVER KISIM5)","KISIM5 over KISIM5 (KISIM5/KISIM5; GINGIRA)","KISIM5 over KISIM5 (KISIM5/KISIM5; GINGIRA)","–",687
"𒆧","𒆧","KIŠ","KIŠ (KEŠ, KIS, KIṢ, KIŠI, QIS, QIŠ)","KIŠ (KEŠ, KIS, KIṢ <font color=""#878787"">(MesZL: not occupied)</font>, KIŠI, QIS, QIŠ)","678","425","U+121A7 (KISH)","KIŠ (KEŠ, KIS, KIṢ (MesZL: not occupied), KIŠI, QIS, QIŠ)","KISH (KESH, KIS, KIṢ, KISHI, QIS, QISH)","425-KISH",678
"𒊔","𒊔","KIŠI₄","KIŠI4 (SAG nutillu; KEŠ4, KEŠI4, KEŠE4, KIŠ4)","KIŠI<sub>4</sub> (SAG <i>nutillu</i>; KEŠ<sub>4</sub>, KEŠI<sub>4</sub>, KEŠE<sub>4</sub>, KIŠ<sub>4</sub>)","743","466","U+12294 (SAG NUTILLU)","KIŠI4 (SAG nutillu; KEŠ4, KEŠI4, KEŠE4, KIŠ4)","KISHI4 (SAG nutillu; KESH4, KESHI4, KESHE4, KISH4)","–",743
"𒁞","𒁞","KIŠI₈","KIŠI8 (DAG.KISIM5 × GIR2; KEŠ8, KIRIM, KISIM4, KIŠ8)","KIŠI<sub>8</sub> (DAG.KISIM<sub>5</sub> × GIR<sub>2</sub>; KEŠ<sub>8</sub>, KIRIM <font color=""#878787"">(MesZL: to be erased)</font>, KISIM<sub>4</sub>, KIŠ<sub>8</sub>)","440","281a","U+1205E (DAG KISIM5 TIMES GIR2)","KIŠI8 (DAG.KISIM5 × GIR2; KEŠ8, KIRIM (MesZL: to be erased), KISIM4, KIŠ8)","KISHI8 (DAG.KISIM5 × GIR2; KESH8, KIRIM, KISIM4, KISH8)","–",440
"𒁬","𒁬","KIŠI₉","KIŠI9 (DAG.KISIM5 × U2.GIR2; ḪADA, ḪARA5, ḪARUB, KEŠ9, KISIM, KIŠ9, ŠARAN2, ŠARIN, ŠURIN5, ŠURUN5, ZIBIN2)","KIŠI<sub>9</sub> (DAG.KISIM<sub>5</sub> × U<sub>2</sub>.GIR<sub>2</sub> <font color=""#878787"">(MesZL: or DAG.KISIM<sub>5</sub> × U<sub>2</sub>.GIR<sub>2</sub> <i>gunû</i>?)</font>; <font color=""#c5000b"">ḪADA</font> <font color=""#878787"">(Labat; MesZL: ḪADA missing)</font>, ḪARA<sub>5</sub>, ḪARUB, KEŠ<sub>9</sub>, KISIM, KIŠ<sub>9</sub>, ŠARAN<sub>2</sub>, ŠARIN, ŠURIN<sub>5</sub>, ŠURUN<sub>5</sub>, ZIBIN<sub>2</sub>)","453","290","U+1206C (DAG KISIM5 TIMES U2 PLUS GIR2)","KIŠI9 (DAG.KISIM5 × U2.GIR2 (MesZL: or DAG.KISIM5 × U2.GIR2 gunû?); ḪADA (Labat; MesZL: ḪADA missing), ḪARA5, ḪARUB, KEŠ9, KISIM, KIŠ9, ŠARAN2, ŠARIN, ŠURIN5, ŠURUN5, ZIBIN2)","KISHI9 (DAG.KISIM5 × U2.GIR2; HADA, HARA5, HARUB, KESH9, KISIM, KISH9, SHARAN2, SHARIN, SHURIN5, SHURUN5, ZIBIN2)","290-KISHI9",453
